id,author,desc,sales,average,highest_price,lowest_price
CAT_000120_e60_d1,Clément,"Piècesig. sur vélin, comme archevêque de Nicomède; Rome, 31 mars 1705, 1 p. in-4 obl.","[{'date': '1893-11', 'price': 10.0}, {'date': '1888-12', 'price': 20.0}]",15.0,20.0,10.0
CAT_000170_e92_d1,Doyen,"L. a. s. au comte…; galeries du Louvre, 21 juin 1781, 2 p. in-4.","[{'date': '1892-12', 'price': 15.0}, {'date': '1893-11', 'price': 12.0}]",13.5,15.0,12.0
CAT_000170_e135_d1,Lacépède,"L. a. s. à Cuvier; 1821, 1/3 de p. in-4. Avec la minute aut. de la réponse de Cuvier. Belle lettre.","[{'date': '1890-02', 'price': 20.0}, {'date': '1893-11', 'price': 12.0}]",16.0,20.0,12.0
CAT_000054_e42_d1,Lauraguais,"L. a. s. au banquier Perregaux; Manicamp, 1780, 4 p. in-4.","[{'date': '1890-04', 'price': 10.0}, {'date': '1893-11', 'price': 8.0}, {'date': '1881-01', 'price': 4.0}]",7.33,10.0,4.0
CAT_000135_e140_d1,Nelson,"L. a. s. Nelson and Bronte à WalterChurchey; 4 mai 1803, 3/4 de p. in-4. Belle lettre.","[{'date': '1889-11', 'price': 100.0}, {'date': '1893-11', 'price': 90.0}, {'date': '1890-12', 'price': 125.0}]",105.0,125.0,90.0
CAT_000170_e191_d1,Orléans,"Pièce sig.; Paris, 1785, 1 p. in-4.","[{'date': '1896-01', 'price': 10.0}, {'date': '1888-05', 'price': 12.0}, {'date': '1893-11', 'price': 12.0}]",11.33,12.0,10.0
CAT_000142_e172_d1,Traviès,"L. a. s. ; 20 déc. 1840, 2 p. 3/4 in-8. Très curieuse lettre.","[{'date': '1893-11', 'price': 8.0}, {'date': '1892-06', 'price': 10.0}, {'date': '1891-10', 'price': 12.0}]",10.0,12.0,8.0
CAT_000235_e262_d1,Vaudreuil,L. a. s.; 24 oct. 1753. 1/2 p. in-8.,"[{'date': '1892-06', 'price': 20.0}, {'date': '1893-11', 'price': 15.0}, {'date': '1896-01', 'price': 10.0}]",15.0,20.0,10.0
CAT_000170_e291_d1,Ypsilanti,"L. a. s., en français, à Son Altesse Royale…; Napoli de Romanie, 15 juin 1826, 1 p. 1/2 in-4.","[{'date': '1890-02', 'price': 35.0}, {'date': '1895-03', 'price': 15.0}, {'date': '1893-11', 'price': 25.0}]",25.0,35.0,15.0
CAT_000221_e2_d1,Albert,"Let. sig.; Windsor, 1851, 1 p. in-fol.","[{'date': '1892-04', 'price': 22.0}, {'date': '1894-11', 'price': 18.0}]",20.0,22.0,18.0
CAT_000147_e18_d1,Béranger,"L. a. s. à M. Bertrand; Passy, 23 février 1847, 3 p. in-8.","[{'date': '1895-03', 'price': 10.0}, {'date': '1892-04', 'price': 15.0}]",12.5,15.0,10.0
CAT_000147_e26_d1,Bèze,"L. a. s. en latin. (à Joseph Scaliger), à Valence ; Genève, 23 octobre 1571, 1 p. in-4.","[{'date': '1895-12', 'price': 100.0}, {'date': '1892-04', 'price': 150.0}]",125.0,150.0,100.0
CAT_000147_e38_d1,Boursault,"Pièce sig. sur vélin avec 4 mots aut., comme secrétaire du duc d'Elbeuf, sig. aussi par Louis XIV (par le secrétaire de la main) et par Charles de Lorraine, duc d'Elbeuf; Arras, 1er novembre 1687, double in-fol. obl., cachet.","[{'date': '1894-12', 'price': 20.0}, {'date': '1892-04', 'price': 24.0}]",22.0,24.0,20.0
CAT_000330_e73_d1,Courtanvaux,"Pièce sig. sur vélin; Versailles, 1744, in-fol. obl., cachet à ses armes très bien conservé.","[{'date': '1892-04', 'price': 12.0}, {'date': '1893-02', 'price': None}]",12.0,12.0,12.0
CAT_000147_e68_d1,Dedreux,"L. a. s. au sculpteur Roman (l'un des auteurs du monument de Quiberon) ; Civita-Vecchia, 22 mai 1820, 3 p. in-4. Jaunie. Petite déchirure.","[{'date': '1893-02', 'price': None}, {'date': '1892-04', 'price': 25.0}]",25.0,25.0,25.0
CAT_000147_e74_d1,Du,"L. a. s.; Cirev, 1er mars (1738), 8 p. in-4. Le dernier feuillet est incomplet.","[{'date': '1893-02', 'price': 60.0}, {'date': '1892-04', 'price': 75.0}]",67.5,75.0,60.0
CAT_000157_e107_d1,Fossé,"L. a. s. à son père, 29 février 1660. 2 p. in-4.","[{'date': '1892-04', 'price': 20.0}, {'date': '1893-04', 'price': 12.0}]",16.0,20.0,12.0
CAT_000147_e88_d1,Frédéric,"Let. sig., avec la souscript. aut., en français, à Louis XIII ; Prague, 15 mai 1620, 3/4 de p. in-fol.. sceau. Lettre de créance pour M. de Borstel.","[{'date': '1887-01', 'price': 42.0}, {'date': '1892-04', 'price': 18.0}]",30.0,42.0,18.0
CAT_000224_e118_d1,Geoffrin,"Let. aut. à M. Desfranches; (1770), 1 p. in-8. Curieuse.","[{'date': '1892-04', 'price': 22.0}, {'date': '1895-01', 'price': 15.0}]",18.5,22.0,15.0
CAT_000103_e190_d1,Hohenzollern,"L. a. s., en français, au prince de la MosKowa ; Paris, 8 février 1866, 1 p. in-8. Rare.","[{'date': '1892-04', 'price': 20.0}, {'date': '1886-10', 'price': 25.0}]",22.5,25.0,20.0
CAT_000222_e151_d1,La,"L. a. s. à une de ses soeurs, (Paris, vers 1740), 3 p. in-4; bordure de fleurs peintes à la gouache; au début une petite figure de femme, vers la signature, une figurine de gentilhomme. Ces deux personnages sont peut-être Philippe Claude de Beaufort-Canillac, comte de Montboissier, lieutenantgénéral, et Louise-Elisabeth de Colins, sa femme. Taches d'humidité et déchirure.","[{'date': '1892-04', 'price': 40.0}, {'date': '1894-12', 'price': 30.0}]",35.0,40.0,30.0
CAT_000147_e115_d1,Lamartine,"L. a. s.; (mai 1848), 4 p. in-8.","[{'date': '1894-11', 'price': 25.0}, {'date': '1892-04', 'price': 30.0}]",27.5,30.0,25.0
CAT_000147_e128_d1,Louis,"Pièce sig. sur vélin, contresignée par Mandat ; 1615, in-fol. obl., sceau.","[{'date': '1894-12', 'price': 20.0}, {'date': '1892-04', 'price': 30.0}]",25.0,30.0,20.0
CAT_000147_e139_d1,Malte-Brun,"L. a. s., en français, à Codrika; (1825), 2 p. in-4.","[{'date': '1893-02', 'price': 10.0}, {'date': '1892-04', 'price': 15.0}]",12.5,15.0,10.0
CAT_000147_e140_d1,Marie,"L. a. s. au duc Gaston d'Orléans ; Paris, 11 mars 1629, 1 p. in-4, cachets à ses armes avec soies.","[{'date': '1893-02', 'price': 125.0}, {'date': '1892-04', 'price': 140.0}]",132.5,140.0,125.0
